unit_name,unit_level,total_population_2019,male_population,female_population,households,conventional_households,group_quarters_population,land_area_sq_km,population_density,mapping_scope,source_type,source_file,source_page,source_note
EMBAKASI,sub_county,988808,492476,496270,347955,346462,1493,86.28025,11460.421127662472,Embakasi sub-county; broader than Embakasi Ward,official_xlsx,DemographicsData\2019-Kenya-population-and-Housing-Census-Population-households-density-by-sub-county.xlsx,,"KNBS 2019 census population, households, density by sub-county"
EMBAKASI,division/location,539856,279572,260241,206380,204898,1482,73.6,7333.0,KNBS administrative unit near/within Embakasi area; not exact IEBC polling boundary,official_pdf,DemographicsData\2019-Kenya-population-and-Housing-Census-Volume-2-Distribution-of-Population-by-Administrative-Units.pdf,247,KNBS 2019 census Volume II administrative-unit distribution
EMBAKASI,location,178387,87403,90972,62143,60694,1449,66.9,2665.0,KNBS administrative unit near/within Embakasi area; not exact IEBC polling boundary,official_pdf,DemographicsData\2019-Kenya-population-and-Housing-Census-Volume-2-Distribution-of-Population-by-Administrative-Units.pdf,247,KNBS 2019 census Volume II administrative-unit distribution
EMBAKASI,sub_location,69887,33953,35926,23944,22589,1355,60.5,1155.0,KNBS administrative unit near/within Embakasi area; not exact IEBC polling boundary,official_pdf,DemographicsData\2019-Kenya-population-and-Housing-Census-Volume-2-Distribution-of-Population-by-Administrative-Units.pdf,247,KNBS 2019 census Volume II administrative-unit distribution
TASSIA,sub_location,88874,43859,45011,30948,30948,0,2.5,35196.0,KNBS administrative unit near/within Embakasi area; not exact IEBC polling boundary,official_pdf,DemographicsData\2019-Kenya-population-and-Housing-Census-Volume-2-Distribution-of-Population-by-Administrative-Units.pdf,247,KNBS 2019 census Volume II administrative-unit distribution
UTAWALA,sub_location,19626,9591,10035,7251,7157,94,3.9,5073.0,KNBS administrative unit near/within Embakasi area; not exact IEBC polling boundary,official_pdf,DemographicsData\2019-Kenya-population-and-Housing-Census-Volume-2-Distribution-of-Population-by-Administrative-Units.pdf,247,KNBS 2019 census Volume II administrative-unit distribution
